
Smileys & Emotion
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
1 ,U+1F600 ,😀 ,😀 ,😀 ,😀 ,😀 ,😀 ,😀 ,😀 ,😀 ,— ,— ,— ,grinning face
2 ,U+1F603 ,😃 ,😃 ,😃 ,😃 ,😃 ,😃 ,😃 ,😃 ,😃 ,😃 ,😃 ,😃 ,grinning face with big eyes
3 ,U+1F604 ,😄 ,😄 ,😄 ,😄 ,😄 ,😄 ,😄 ,😄 ,😄 ,😄 ,— ,— ,grinning face with smiling eyes
4 ,U+1F601 ,😁 ,😁 ,😁 ,😁 ,😁 ,😁 ,😁 ,😁 ,😁 ,😁 ,😁 ,😁 ,beaming face with smiling eyes
5 ,U+1F606 ,😆 ,😆 ,😆 ,😆 ,😆 ,😆 ,😆 ,😆 ,😆 ,— ,😆 ,— ,grinning squinting face
6 ,U+1F605 ,😅 ,😅 ,😅 ,😅 ,😅 ,😅 ,😅 ,😅 ,😅 ,— ,😅 ,— ,grinning face with sweat
7 ,U+1F923 ,🤣 ,🤣 ,🤣 ,🤣 ,🤣 ,🤣 ,🤣 ,🤣 ,— ,— ,— ,— ,rolling on the floor laughing
8 ,U+1F602 ,😂 ,😂 ,😂 ,😂 ,😂 ,😂 ,😂 ,😂 ,😂 ,😂 ,— ,😂 ,face with tears of joy
9 ,U+1F642 ,🙂 ,🙂 ,🙂 ,🙂 ,🙂 ,🙂 ,🙂 ,🙂 ,🙂 ,— ,— ,— ,slightly smiling face
10 ,U+1F643 ,🙃 ,🙃 ,🙃 ,🙃 ,🙃 ,🙃 ,🙃 ,🙃 ,— ,— ,— ,— ,upside-down face
11 ,U+1F609 ,😉 ,😉 ,😉 ,😉 ,😉 ,😉 ,😉 ,😉 ,😉 ,😉 ,😉 ,😉 ,winking face
12 ,U+1F60A ,😊 ,😊 ,😊 ,😊 ,😊 ,😊 ,😊 ,😊 ,😊 ,😊 ,— ,😊 ,smiling face with smiling eyes
13 ,U+1F607 ,😇 ,😇 ,😇 ,😇 ,😇 ,😇 ,😇 ,😇 ,— ,— ,— ,— ,smiling face with halo
face-affection
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
14 ,U+1F970 ,🥰 ,🥰 ,🥰 ,🥰 ,🥰 ,🥰 ,🥰 ,🥰 ,— ,— ,— ,— ,smiling face with hearts
15 ,U+1F60D ,😍 ,😍 ,😍 ,😍 ,😍 ,😍 ,😍 ,😍 ,😍 ,😍 ,😍 ,😍 ,smiling face with heart-eyes
16 ,U+1F929 ,🤩 ,🤩 ,🤩 ,🤩 ,🤩 ,🤩 ,🤩 ,🤩 ,— ,— ,— ,— ,star-struck
17 ,U+1F618 ,😘 ,😘 ,😘 ,😘 ,😘 ,😘 ,😘 ,😘 ,😘 ,😘 ,— ,😘 ,face blowing a kiss
18 ,U+1F617 ,😗 ,😗 ,😗 ,😗 ,😗 ,😗 ,😗 ,😗 ,— ,— ,— ,— ,kissing face
19 ,U+263A ,☺ ,☺ ,☺ ,☺ ,☺ ,☺ ,☺ ,☺ ,☺ ,☺ ,— ,☺ ,smiling face
20 ,U+1F61A ,😚 ,😚 ,😚 ,😚 ,😚 ,😚 ,😚 ,😚 ,😚 ,😚 ,— ,😚 ,kissing face with closed eyes
21 ,U+1F619 ,😙 ,😙 ,😙 ,😙 ,😙 ,😙 ,😙 ,😙 ,— ,— ,— ,— ,kissing face with smiling eyes
face-tongue
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
22 ,U+1F60B ,😋 ,😋 ,😋 ,😋 ,😋 ,😋 ,😋 ,😋 ,😋 ,— ,😋 ,— ,face savoring food
23 ,U+1F61B ,😛 ,😛 ,😛 ,😛 ,😛 ,😛 ,😛 ,😛 ,— ,— ,— ,— ,face with tongue
24 ,U+1F61C ,😜 ,😜 ,😜 ,😜 ,😜 ,😜 ,😜 ,😜 ,😜 ,😜 ,😜 ,😜 ,winking face with tongue
25 ,U+1F92A ,🤪 ,🤪 ,🤪 ,🤪 ,🤪 ,🤪 ,🤪 ,🤪 ,— ,— ,— ,— ,zany face
26 ,U+1F61D ,😝 ,😝 ,😝 ,😝 ,😝 ,😝 ,😝 ,😝 ,😝 ,😝 ,— ,— ,squinting face with tongue
27 ,U+1F911 ,🤑 ,🤑 ,🤑 ,🤑 ,🤑 ,🤑 ,🤑 ,🤑 ,— ,— ,— ,— ,money-mouth face
face-hand
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
28 ,U+1F917 ,🤗 ,🤗 ,🤗 ,🤗 ,🤗 ,🤗 ,🤗 ,🤗 ,— ,— ,— ,— ,hugging face
29 ,U+1F92D ,🤭 ,🤭 ,🤭 ,🤭 ,🤭 ,🤭 ,🤭 ,🤭 ,— ,— ,— ,— ,face with hand over mouth
30 ,U+1F92B ,🤫 ,🤫 ,🤫 ,🤫 ,🤫 ,🤫 ,🤫 ,🤫 ,— ,— ,— ,— ,shushing face
31 ,U+1F914 ,🤔 ,🤔 ,🤔 ,🤔 ,🤔 ,🤔 ,🤔 ,🤔 ,— ,— ,— ,— ,thinking face
face-neutral-skeptical
№ ,Code ,Browser,Appl ,Goog ,FB ,Wind ,Twtr ,Joy ,Sams ,GMail ,SB ,DCM ,KDDI ,CLDR Short Name
